input_dim,latent_dim,beta,learning_rate,epochs,batch_size,compression_ratio_mean,compression_ratio_std,reconstruction_error_mean,reconstruction_error_std,kl_divergence_mean,kl_divergence_std,total_loss_mean,total_loss_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,convergence_rate,monte_carlo_trials,compression_score,anomaly_score,balanced_score
12,6,1,0.001,50,32,2,0,1.66165,0.0147772,0.400959,0.133957,1.9486,0.104774,11108.6,2122.13,25.4,2.05913,0,5,0,0,0
12,6,1,0.01,50,32,2,0,1.67815,0.0120422,0.410934,0.0624025,1.99163,0.074675,9649.2,455.733,25.8,3.1241,0,5,0,0,0
12,8,0.5,0.001,50,32,1.5,0,1.73317,0.0500045,2.39837,0.689155,2.8559,0.321559,1280.8,137.222,2,0,0,5,0,0,0
12,8,0.5,0.01,50,32,1.5,0,1.73773,0.0653799,2.08061,0.335572,2.69098,0.16666,1268.4,73.2492,2.2,0.4,0,5,0,0,0
12,8,1,0.001,50,32,1.5,0,1.81579,0.0568914,2.45665,0.526233,4.26787,0.788889,1122.8,14.6751,2,0,0,5,0,0,0
12,8,1,0.01,50,32,1.5,0,1.75006,0.0599175,2.71134,0.775096,4.41885,0.922084,1213.4,90.1213,2,0,0,5,0,0,0
12,8,0.5,0.001,50,32,1.5,0,1.65016,0.0510809,0.960528,0.257719,2.05058,0.167777,3284,207.164,7,0,0,5,0,0,0
12,8,0.5,0.01,50,32,1.5,0,1.64983,0.0637529,0.816852,0.208768,1.97786,0.111146,3356,344.95,6.8,0.4,0,5,0,0,0
12,8,1,0.001,50,32,1.5,0,1.69741,0.0139045,0.781086,0.253789,2.36689,0.288762,4425.4,803.729,7.8,0.979796,0,5,0,0,0
12,8,1,0.01,50,32,1.5,0,1.71679,0.0596487,0.729472,0.0796578,2.38682,0.0653695,3504.6,414.881,6.4,0.489898,0,5,0,0,0
12,8,0.5,0.001,50,32,1.5,0,1.68971,0.0470859,0.476946,0.147423,1.82649,0.12016,10700.8,1445.71,23.8,2.22711,0,5,0,0,0
12,8,0.5,0.01,50,32,1.5,0,1.62973,0.0539797,0.488218,0.153821,1.7831,0.126015,14117.4,2315.57,29.8,8.47113,0,5,0,0,0
12,8,1,0.001,50,32,1.5,0,1.6231,0.037263,0.468,0.139809,2.00565,0.150733,9618,334.345,39.8,33.1143,0,5,0,0,0
12,8,1,0.01,50,32,1.5,0,1.6617,0.0266105,0.496902,0.075375,2.03684,0.0690479,11956.2,1331.88,32.6,9.74885,0,5,0,0,0
