error_rate,success_rate,ci_lower,ci_upper,avg_bit_errors,avg_corrected_errors
0.001,0.918,0.9009946984266671,0.935005301573333,0.092,0.0
0.0012742749857031334,0.89,0.8706068919458484,0.9093931080541516,0.115,0.0
0.001623776739188721,0.863,0.8416881204582983,0.8843118795417017,0.145,0.0
0.00206913808111479,0.835,0.8119939912196834,0.8580060087803165,0.183,0.0
0.0026366508987303583,0.764,0.737681644306682,0.790318355693318,0.268,0.0
0.003359818286283781,0.721,0.6932012155949221,0.7487987844050779,0.325,0.0
0.004281332398719396,0.664,0.6347241340623373,0.6932758659376628,0.398,0.0
0.00545559478116852,0.603,0.572674359601156,0.633325640398844,0.502,0.0
0.0069519279617756054,0.527,0.4960548958056367,0.5579451041943633,0.656,0.0
0.008858667904100823,0.416,0.3854501445109801,0.4465498554890199,0.86,0.0
0.011288378916846888,0.348,0.3184763878632712,0.37752361213672875,1.051,0.0
0.01438449888287663,0.248,0.22123354648818788,0.2747664535118121,1.389,0.0
0.018329807108324356,0.178,0.15429161444551737,0.20170838555448262,1.739,0.0
0.023357214690901212,0.112,0.09245338470220484,0.13154661529779516,2.212,0.0
0.029763514416313176,0.065,0.04972016884910046,0.08027983115089954,2.801,0.0
0.0379269019073225,0.025,0.015323275347515567,0.034676724652484434,3.668,0.0
0.04832930238571752,0.013,0.0059792044895183,0.0200207955104817,4.585,0.0
0.06158482110660261,0.001,0,0.0029590197548774234,5.857,0.0
0.07847599703514611,0.0,0,0.0,7.513,0.0
0.1,0.0,0,0.0,9.786,0.0
