Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
MEO,None,None,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,0,5.35254
MEO,None,Basic,AdjacentBits,5e-06,0,35,0,20100000,74,0,0,0,1,0,5.27309
MEO,None,Standard,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,0,5.25634
MEO,None,Advanced,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,0,5.34748
MEO,Minimal,None,AdjacentBits,5e-06,0,35,0,20100000,281,281,281,0,1,10,5.42827
MEO,Minimal,Basic,AdjacentBits,5e-06,0,35,0,20100000,148,148,148,0,1,10,5.43141
MEO,Minimal,Standard,AdjacentBits,5e-06,0,35,0,20100000,381,381,44,337,0.115486,10,5.48879
MEO,Minimal,Advanced,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,10,5.30549
MEO,Moderate,None,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,50,5.49271
MEO,Moderate,Basic,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,50,5.47184
MEO,Moderate,Standard,AdjacentBits,5e-06,0,35,0,20100000,143,143,143,0,1,50,5.51761
MEO,Moderate,Advanced,AdjacentBits,5e-06,0,35,0,20100000,234,234,75,159,0.320513,50,5.26492
MEO,High,None,AdjacentBits,5e-06,0,35,0,20100000,198,198,198,0,1,100,5.24444
MEO,High,Basic,AdjacentBits,5e-06,0,35,0,20100000,173,173,173,0,1,100,5.44909
MEO,High,Standard,AdjacentBits,5e-06,0,35,0,20100000,20,20,20,0,1,100,5.36459
MEO,High,Advanced,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,100,14.8793
MEO,Very High,None,AdjacentBits,5e-06,0,35,0,20100000,352,352,352,0,1,200,5.50962
MEO,Very High,Basic,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,200,5.31919
MEO,Very High,Standard,AdjacentBits,5e-06,0,35,0,20100000,181,181,181,0,1,200,5.44512
MEO,Very High,Advanced,AdjacentBits,5e-06,0,35,0,20100000,253,253,92,161,0.363636,200,5.52795
MEO,Adaptive,None,AdjacentBits,5e-06,0,35,0,20100000,100,100,100,0,1,75,5.53162
MEO,Adaptive,Basic,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,75,5.26616
MEO,Adaptive,Standard,AdjacentBits,5e-06,0,35,0,20100000,91,91,91,0,1,75,5.72231
MEO,Adaptive,Advanced,AdjacentBits,5e-06,0,35,0,20100000,181,181,159,22,0.878453,75,5.36803
