pattern,coverage,protection,input_size,hidden_size,output_size,weights_affected,biases_affected,injected_faults,detected_faults,corrected_faults,mse,correction_rate
ROW_COLUMN,5,enabled,8,16,4,192,20,10,10,230050,nan,2300500.000000
ROW_COLUMN,10,disabled,8,16,4,192,20,21,21,0,nan,0.000000
ROW_COLUMN,10,enabled,8,16,4,192,20,21,21,232700,nan,1108095.238095
ROW_COLUMN,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
ROW_COLUMN,20,enabled,8,16,4,192,20,42,42,233700,nan,556428.571429
ROW_COLUMN,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
ROW_COLUMN,30,enabled,8,16,4,192,20,63,63,235450,nan,373730.158730
BURST_ERROR,1,disabled,8,16,4,192,20,2,2,0,nan,0.000000
BURST_ERROR,1,enabled,8,16,4,192,20,2,2,235650,nan,11782500.000000
BURST_ERROR,5,disabled,8,16,4,192,20,10,10,0,nan,0.000000
BURST_ERROR,5,enabled,8,16,4,192,20,10,10,235350,nan,2353500.000000
BURST_ERROR,10,disabled,8,16,4,192,20,21,21,0,nan,0.000000
BURST_ERROR,10,enabled,8,16,4,192,20,21,21,234950,nan,1118809.523810
BURST_ERROR,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
BURST_ERROR,20,enabled,8,16,4,192,20,42,42,238750,nan,568452.380952
BURST_ERROR,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
BURST_ERROR,30,enabled,8,16,4,192,20,63,63,238550,nan,378650.793651
